,ruido,frec_obs,periodo,n_seg,n_meses,ok
0,0.0,7,30,20,3,False
1,0.0,7,30,20,6,True
2,0.0,7,30,20,9,True
3,0.0,7,30,20,12,True
4,0.0,7,60,20,3,False
5,0.0,7,60,20,6,True
6,0.0,7,60,20,9,True
7,0.0,7,60,20,12,True
8,0.0,7,90,20,3,True
9,0.0,7,90,20,6,True
10,0.0,7,90,20,9,True
11,0.0,7,90,20,12,True
12,0.0,7,120,20,3,True
13,0.0,7,120,20,6,True
14,0.0,7,120,20,9,True
15,0.0,7,120,20,12,True
16,0.0,7,150,20,3,True
17,0.0,7,150,20,6,True
18,0.0,7,150,20,9,True
19,0.0,7,150,20,12,True
20,0.0,7,180,20,3,True
21,0.0,7,180,20,6,True
22,0.0,7,180,20,9,True
23,0.0,7,180,20,12,True
24,0.0,7,210,20,3,True
25,0.0,7,210,20,6,True
26,0.0,7,210,20,9,True
27,0.0,7,210,20,12,True
28,0.0,7,240,20,3,True
29,0.0,7,240,20,6,True
30,0.0,7,240,20,9,True
31,0.0,7,240,20,12,True
32,0.0,7,270,20,3,True
33,0.0,7,270,20,6,True
34,0.0,7,270,20,9,True
35,0.0,7,270,20,12,True
36,0.0,7,300,20,3,True
37,0.0,7,300,20,6,True
38,0.0,7,300,20,9,True
39,0.0,7,300,20,12,True
40,0.0,7,330,20,3,True
41,0.0,7,330,20,6,True
42,0.0,7,330,20,9,True
43,0.0,7,330,20,12,True
44,0.0,7,360,20,3,True
45,0.0,7,360,20,6,True
46,0.0,7,360,20,9,True
47,0.0,7,360,20,12,True
48,0.0,14,30,20,3,False
49,0.0,14,30,20,6,True
50,0.0,14,30,20,9,True
51,0.0,14,30,20,12,True
52,0.0,14,60,20,3,False
53,0.0,14,60,20,6,True
54,0.0,14,60,20,9,True
55,0.0,14,60,20,12,True
56,0.0,14,90,20,3,True
57,0.0,14,90,20,6,True
58,0.0,14,90,20,9,True
59,0.0,14,90,20,12,True
60,0.0,14,120,20,3,True
61,0.0,14,120,20,6,True
62,0.0,14,120,20,9,True
63,0.0,14,120,20,12,True
64,0.0,14,150,20,3,True
65,0.0,14,150,20,6,True
66,0.0,14,150,20,9,True
67,0.0,14,150,20,12,True
68,0.0,14,180,20,3,True
69,0.0,14,180,20,6,True
70,0.0,14,180,20,9,True
71,0.0,14,180,20,12,True
72,0.0,14,210,20,3,True
73,0.0,14,210,20,6,True
74,0.0,14,210,20,9,True
75,0.0,14,210,20,12,True
76,0.0,14,240,20,3,True
77,0.0,14,240,20,6,True
78,0.0,14,240,20,9,True
79,0.0,14,240,20,12,True
80,0.0,14,270,20,3,True
81,0.0,14,270,20,6,True
82,0.0,14,270,20,9,True
83,0.0,14,270,20,12,True
84,0.0,14,300,20,3,True
85,0.0,14,300,20,6,True
86,0.0,14,300,20,9,True
87,0.0,14,300,20,12,True
88,0.0,14,330,20,3,True
89,0.0,14,330,20,6,True
90,0.0,14,330,20,9,True
91,0.0,14,330,20,12,True
92,0.0,14,360,20,3,True
93,0.0,14,360,20,6,True
94,0.0,14,360,20,9,True
95,0.0,14,360,20,12,True
96,0.0,21,30,20,3,False
97,0.0,21,30,20,6,True
98,0.0,21,30,20,9,True
99,0.0,21,30,20,12,True
100,0.0,21,60,20,3,True
101,0.0,21,60,20,6,True
102,0.0,21,60,20,9,True
103,0.0,21,60,20,12,True
104,0.0,21,90,20,3,True
105,0.0,21,90,20,6,True
106,0.0,21,90,20,9,True
107,0.0,21,90,20,12,True
108,0.0,21,120,20,3,True
109,0.0,21,120,20,6,True
110,0.0,21,120,20,9,True
111,0.0,21,120,20,12,True
112,0.0,21,150,20,3,True
113,0.0,21,150,20,6,True
114,0.0,21,150,20,9,True
115,0.0,21,150,20,12,True
116,0.0,21,180,20,3,True
117,0.0,21,180,20,6,True
118,0.0,21,180,20,9,True
119,0.0,21,180,20,12,True
120,0.0,21,210,20,3,True
121,0.0,21,210,20,6,True
122,0.0,21,210,20,9,True
123,0.0,21,210,20,12,True
124,0.0,21,240,20,3,True
125,0.0,21,240,20,6,True
126,0.0,21,240,20,9,True
127,0.0,21,240,20,12,True
